name,slug,sku_code,category,unit,unit_cost_cents,margin_percent,stock_qty,image_slug
Água com Gás,agua-com-gas,BEB-001,Bebidas,UN,175,30,0,agua-com-gas
Barra de Proteína Top Max,barra-de-proteina-top-max,SUP-001,Suplementos,UN,582,30,0,barra-de-proteina-top-max
Barra Protein Crisp Integralmédica,barra-protein-crisp-integralmedica,SUP-002,Suplementos,UN,683,30,0,barra-protein-crisp-integralmedica
Bolo Gelado no Alumínio,bolo-gelado-no-aluminio,DOC-001,Doces e Sobremesas,UN,600,30,0,bolo-gelado-no-aluminio
Bolo de Cenoura,bolo-de-cenoura,DOC-002,Doces e Sobremesas,UN,600,30,0,bolo-de-cenoura
Brownie,brownie,DOC-003,Doces e Sobremesas,UN,500,30,0,brownie
Brigadeiro no Pote,brigadeiro-no-pote,DOC-004,Doces e Sobremesas,UN,550,30,0,brigadeiro-no-pote
Bombom de Leite Ninho,bombom-de-leite-ninho,DOC-005,Doces e Sobremesas,UN,200,30,0,bombom-de-leite-ninho
Coca-Cola 200ml,coca-cola-200ml,BEB-002,Bebidas,UN,169,30,0,coca-cola-200ml
Coca-Cola 2L Retornável,coca-cola-2l-retornavel,BEB-003,Bebidas,UN,699,30,0,coca-cola-2l-retornavel
Coca-Cola 2L,coca-cola-2l,BEB-004,Bebidas,UN,900,30,0,coca-cola-2l
Coca-Cola Lata Zero,coca-cola-lata-zero,BEB-005,Bebidas,UN,349,30,0,coca-cola-lata-zero
Coca-Cola Lata,coca-cola-lata,BEB-006,Bebidas,UN,349,30,0,coca-cola-lata
Doce Sortido A,doce-sortido-a,DOC-006,Doces e Sobremesas,UN,131,30,0,doce-sortido-a
Doce Sortido B,doce-sortido-b,DOC-007,Doces e Sobremesas,UN,149,30,0,doce-sortido-b
Doce Sortido C,doce-sortido-c,DOC-008,Doces e Sobremesas,UN,131,30,0,doce-sortido-c
Doce Sortido D,doce-sortido-d,DOC-009,Doces e Sobremesas,UN,119,30,0,doce-sortido-d
Energético Furioso,energetico-furioso,BEB-007,Bebidas,UN,450,30,0,energetico-furioso
Energético Monster,energetico-monster,BEB-008,Bebidas,UN,759,30,0,energetico-monster
Gatorade,gatorade,BEB-009,Bebidas,UN,499,30,0,gatorade
Halls,halls,DOC-010,Doces e Sobremesas,UN,123,30,0,halls
